name,type,address,postcode,state,lat,lon,precision
Australian Druze Community,cop,,2160,NSW,-33.835883,150.976594,postcode_centroid
Chabad of the Hunter and Central Coast,cop,,2250,NSW,-33.325373,151.189243,postcode_centroid
Chabad of the Hunter and Central Coast,cop,,2300,NSW,-32.931635,151.778021,postcode_centroid
Islamic Centre of Newcastle,cop,,2300,NSW,-32.931635,151.778021,postcode_centroid
Museum of Chinese in Australia,cop,,5000,SA,-34.92849902,138.600746,postcode_centroid
Museum of Chinese in Australia,cop,,3500,,-34.1931,142.154161,postcode_centroid
Museum of Chinese in Australia,cop,,4870,,-16.923761,145.742303,postcode_centroid
Museum of Chinese in Australia,cop,,4868,,-16.993753,145.729193,postcode_centroid
Museum of Chinese in Australia,cop,,0800,,-12.458684,130.83668,postcode_centroid
Museum of Chinese in Australia,cop,,7250,TAS,-41.432254,147.077589,postcode_centroid
Museum of Chinese in Australia,cop,,6000,WA,-31.948762,115.859912,postcode_centroid
Rainbow Crossing,cop,,2560,NSW,-34.194216,150.768408,postcode_centroid
Vietnamese Community in Australia NSW Chapter,cop,,2465,NSW,-29.412622,153.243897,postcode_centroid
Voices of Women Incorporated,cop,,2830,NSW,-32.24224,148.657282,postcode_centroid
Voices of Women Incorporated,cop,,2440,NSW,-30.375791,153.019648,postcode_centroid
St Mary's Ethiopian Women's Association in Sydney,cop,,2144,NSW,-33.851868,151.026756,postcode_centroid
St Mary's Ethiopian Women's Association in Sydney,cop,,2148,NSW,-33.783751,150.900547,postcode_centroid
St Mary's Ethiopian Women's Association in Sydney,cop,,2770,NSW,-33.756443,150.810246,postcode_centroid
African Australian Advocacy Centre,cop,,2170,NSW,-33.928392,150.921448,postcode_centroid
African Australian Advocacy Centre,cop,,2150,NSW,-33.814463,151.006506,postcode_centroid
Australian Arab Cultural Forum,cop,,2170,NSW,-33.928392,150.921448,postcode_centroid
Turbans 4 Australia,cop,,2150,NSW,-33.814463,151.006506,postcode_centroid
Tamil Senior Citizens Association (N.S.W.),cop,,2135,NSW,-33.881009,151.084759,postcode_centroid
Pacific Communities Centre ,cop,,2170,NSW,-33.928392,150.921448,postcode_centroid
Sadat Welfare and Sports Association,cop,,2144,NSW,-33.851868,151.026756,postcode_centroid
Sadat Welfare and Sports Association,cop,,2160,NSW,-33.835883,150.976594,postcode_centroid
Lismore Friendship Festival,cop,,2480,NSW,-28.706486,153.25943,postcode_centroid
The Sinhalese Cultural Centre,cop,,2148,NSW,-33.783751,150.900547,postcode_centroid
African/Australian Football Association,cop,,2144,NSW,-33.851868,151.026756,postcode_centroid
African/Australian Football Association,cop,,2118,NSW,-33.775596,151.043518,postcode_centroid
African/Australian Football Association,cop,,2148,NSW,-33.783751,150.900547,postcode_centroid
African/Australian Football Association,cop,,2160,NSW,-33.835883,150.976594,postcode_centroid
African/Australian Football Association,cop,,2150,NSW,-33.814463,151.006506,postcode_centroid
Australian Afghan Hassanian Youth Association,cop,,2144,NSW,-33.851868,151.026756,postcode_centroid
Armenian Cultural Centre,cop,,2165,NSW,-33.872435,150.947496,postcode_centroid
Multicultural Community Services of Central Australia,cop,,0870,NT,-23.702291,133.86314,postcode_centroid
UMNT,cop,,0800,NT,-12.458684,130.83668,postcode_centroid
The Korean Association in Australia Northern Territory,cop,,0810,NT,-12.381806,130.866242,postcode_centroid
Darwin Malayalee Association,cop,,0870,NT,-23.702291,133.86314,postcode_centroid
Central Australia Sikh Cultural Centre,cop,,0830,NT,-12.52139649,130.9580765,postcode_centroid
Vibrant Diverse Cultures,cop,,0830,NT,-12.52139649,130.9580765,postcode_centroid
Bangladesh Association of Northern Territory,cop,,0800,NT,-12.458684,130.83668,postcode_centroid
Australian Vietnamese Family Association,cop,,0800,NT,-12.458684,130.83668,postcode_centroid
Chabad North Queensland,cop,,4870,QLD,-16.923761,145.742303,postcode_centroid
Chabad North Queensland,cop,,4868,QLD,-16.993753,145.729193,postcode_centroid
Chabad North Queensland,cop,,4860,QLD,-17.520343,145.888782,postcode_centroid
Chabad North Queensland,cop,,4740,QLD,-21.33763,149.059737,postcode_centroid
Chabad North Queensland,cop,,4810,QLD,-19.227783,146.764659,postcode_centroid
Chabad North Queensland,cop,,4802,QLD,-20.271072,148.989038,postcode_centroid
Mongolian Community Association in Queensland,cop,,4000,QLD,-27.468391,153.022126,postcode_centroid
The Vietnamese Community in Australia (Queensland Chapter),cop,,4807,QLD,-19.914965,147.133033,postcode_centroid
LVIC,cop,,4350,QLD,-27.543577,151.960952,postcode_centroid
Women's Mentoring Foundation,cop,,4207,QLD,-27.733991,153.204523,postcode_centroid
Women's Mentoring Foundation,cop,,4006,QLD,-27.36618,153.175242,postcode_centroid
Women's Mentoring Foundation,cop,,4218,QLD,-28.037627,153.41692,postcode_centroid
Women's Mentoring Foundation,cop,,4122,QLD,-27.543316,153.088155,postcode_centroid
Women's Mentoring Foundation,cop,,4127,QLD,-27.629474,153.142035,postcode_centroid
Women's Mentoring Foundation,cop,,4810,QLD,-19.227783,146.764659,postcode_centroid
Ukrainian Community of Queensland,cop,,4000,QLD,-27.468391,153.022126,postcode_centroid
Multicultural Mailer,cop,,3805,QLD,-38.037026,145.304198,postcode_centroid
Multicultural Mailer,cop,,3977,QLD,-38.1466398,145.2695101,postcode_centroid
Multicultural Mailer,cop,,3175,QLD,-38.016114,145.208504,postcode_centroid
Multicultural Mailer,cop,,4215,QLD,-27.967134,153.397952,postcode_centroid
Multicultural Mailer,cop,,4127,QLD,-27.629474,153.142035,postcode_centroid
Australian National Chinese Women's Federation,cop,,4215,QLD,-27.967134,153.397952,postcode_centroid
The Federation of Indian Communities of Queensland,cop,,4000,QLD,-27.468391,153.022126,postcode_centroid
Arise Women Support Association,cop,,4051,QLD,-27.427508,153.000297,postcode_centroid
Arise Women Support Association,cop,,4350,QLD,-27.576308,151.852689,postcode_centroid
Women's Power of Inspiration,cop,,4215,QLD,-27.967134,153.397952,postcode_centroid
Women's Power of Inspiration,cop,,4131,QLD,-27.669913,153.136072,postcode_centroid
Bangle Foundation,cop,,4000,QLD,-27.468391,153.022126,postcode_centroid
Hillcrest Community Centre,cop,,4118,QLD,-27.673806,153.027323,postcode_centroid
Vedic Education Arts and Culture,cop,,4350,QLD,-27.599253,151.939683,postcode_centroid
Middle Eastern Communities Council of S.A.,cop,,5453,SA,-33.802932,138.582681,postcode_centroid
Slava Ukrainian Cultural Centre,cop,,5011,SA,-34.87089128,138.5353265,postcode_centroid
Afghan United Association of South Australia,cop,,5114,SA,-34.718681,138.754254,postcode_centroid
Adelaide Eid Festival,cop,,5000,SA,-34.92849902,138.600746,postcode_centroid
Pashtun Association of SA,cop,,5000,SA,-34.92849902,138.600746,postcode_centroid
Pashtun Association of SA,cop,,5012,SA,-34.86303,138.541637,postcode_centroid
Pashtun Association of SA,cop,,5043,SA,-35.005492,138.553853,postcode_centroid
Pashtun Association of SA,cop,,5067,SA,-34.919985,138.630575,postcode_centroid
Pashtun Association of SA,cop,,5015,SA,-34.808422,138.531567,postcode_centroid
Pashtun Association of SA,cop,,5082,SA,-34.886018,138.587083,postcode_centroid
Pashtun Association of SA,cop,,5108,SA,-34.761553,138.61884,postcode_centroid
Pashtun Association of SA,cop,,5061,SA,-34.957195,138.60648,postcode_centroid
Pashtun Association of SA,cop,,5031,SA,-34.936926,138.570873,postcode_centroid
St. Elias Antiochian Orthodox Parish Association,cop,,5012,SA,-34.86303,138.541637,postcode_centroid
Associazione Sinopolese Del Sud Australia Maria SS Di Tutte Le Grazie,cop,,5012,SA,-34.86303,138.541637,postcode_centroid
Ceylon Tamil Association of South Australia,cop,,5066,SA,-34.940962,138.66029,postcode_centroid
Ceylon Tamil Association of South Australia,cop,,5074,SA,-34.884233,138.669275,postcode_centroid
Ceylon Tamil Association of South Australia,cop,,5091,SA,-34.822615,138.735572,postcode_centroid
Circle of Friends Australia,cop,,5152,SA,-34.998401,138.703957,postcode_centroid
Hispanic Women's Association of South Australia,cop,,5043,SA,-35.005492,138.553853,postcode_centroid
Hispanic Women's Association of South Australia,cop,,5108,SA,-34.761553,138.61884,postcode_centroid
Afghan Culture Association,cop,,5114,SA,-34.718681,138.754254,postcode_centroid
Afghan Culture Association,cop,,5082,SA,-34.886018,138.587083,postcode_centroid
Afghan Culture Association,cop,,5108,SA,-34.761553,138.61884,postcode_centroid
Telugu Association of South Australia,cop,,5011,SA,-34.87089128,138.5353265,postcode_centroid
Telugu Association of South Australia,cop,,5043,SA,-35.005492,138.553853,postcode_centroid
Telugu Association of South Australia,cop,,5015,SA,-34.808422,138.531567,postcode_centroid
Telugu Association of South Australia,cop,,5108,SA,-34.761553,138.61884,postcode_centroid
Telugu Association of South Australia,cop,,5031,SA,-34.936926,138.570873,postcode_centroid
Cyprus Community of South Australia,cop,,5011,SA,-34.87089128,138.5353265,postcode_centroid
Hong Kong Cultural Association of South Australia,cop,,5000,SA,-34.92849902,138.600746,postcode_centroid
Hong Kong Cultural Association of South Australia,cop,,5061,SA,-34.957195,138.60648,postcode_centroid
Hong Kong Cultural Association of South Australia,cop,,5031,SA,-34.936926,138.570873,postcode_centroid
Farda Group,cop,,5000,SA,-34.92849902,138.600746,postcode_centroid
Farda Group,cop,,5108,SA,-34.761553,138.61884,postcode_centroid
Akaal Sikh Society Launceston,cop,,7277,TAS,-41.366416,146.996977,postcode_centroid
Akaal Sikh Society Launceston,cop,,7304,TAS,-41.710417,146.165998,postcode_centroid
Shia Association of Ahl-E-Bayt Tasmania,cop,,7000,TAS,-42.878355,147.308002,postcode_centroid
The Non-resident Nepali Association Australia,cop,,7000,TAS,-42.878355,147.308002,postcode_centroid
Association of Colombians in Tasmania (ASSOCOLTAS),cop,,7000,TAS,-42.878355,147.308002,postcode_centroid
Australian Italian Club,cop,,7000,TAS,-42.878355,147.308002,postcode_centroid
Be Hers,cop,,7000,TAS,-42.878355,147.308002,postcode_centroid
Multicultural Womens Council of Tasmania,cop,,7010,TAS,-42.85913,147.212366,postcode_centroid
Multicultural Womens Council of Tasmania,cop,,7015,TAS,-42.83903,147.360174,postcode_centroid
Multicultural Womens Council of Tasmania,cop,,7005,TAS,-42.916204,147.3368,postcode_centroid
Multicultural Womens Council of Tasmania,cop,,7000,TAS,-42.878355,147.308002,postcode_centroid
Australian Professionals of Colour (APOC),cop,,3000,VIC,-37.81443733,144.9825846,postcode_centroid
Sufi Festival,cop,,3000,VIC,-37.81443733,144.9825846,postcode_centroid
Cypher Culture (Vic),cop,,3000,VIC,-37.81443733,144.9825846,postcode_centroid
Somali Community,cop,,3040,VIC,-37.751845,144.902556,postcode_centroid
Somali Community,cop,,3000,VIC,-37.81443733,144.9825846,postcode_centroid
Somali Community,cop,,3030,VIC,-37.91624,144.64209,postcode_centroid
Yarra Ethnic Arts Exchange Association,cop,,3067,VIC,-37.803515,144.998203,postcode_centroid
Somali Elders Group in Victoria,cop,,3084,VIC,-37.744406,145.082685,postcode_centroid
Walker Close & Brooklyn Hall Association,cop,,3015,VIC,-37.838242,144.880556,postcode_centroid
Multicultural Women Victoria,cop,,3000,VIC,-37.81443733,144.9825846,postcode_centroid
Australia-Korea Business Council,cop,,3000,VIC,-37.81443733,144.9825846,postcode_centroid
The Federation of Chinese Associations (VIC),cop,,3000,VIC,-37.81443733,144.9825846,postcode_centroid
Malayalee Association of Victoria,cop,,3810,VIC,-38.04658,145.472514,postcode_centroid
Malayalee Association of Victoria,cop,,3805,VIC,-38.037026,145.304198,postcode_centroid
Malayalee Association of Victoria,cop,,3977,VIC,-38.1466398,145.2695101,postcode_centroid
Malayalee Association of Victoria,cop,,3175,VIC,-38.016114,145.208504,postcode_centroid
Astha Nepali Hindu Society of Victoria Shree Pashupatinath Temple,cop,,3977,VIC,-38.1466398,145.2695101,postcode_centroid
Filipino Australian Seniors Association,cop,,3192,VIC,-37.965655,145.0623,postcode_centroid
Diwali & Holi in West,cop,,3337,VIC,-37.65724033,144.5462424,postcode_centroid
Indian Women in Australia,cop,,3337,VIC,-37.65724033,144.5462424,postcode_centroid
Nepalese Neighbourhood Community,cop,,3757,VIC,-37.469784,145.182221,postcode_centroid
Northern Melbourne Marathi Mandal,cop,,3043,VIC,-37.691916,144.888368,postcode_centroid
Northern Melbourne Marathi Mandal,cop,,3757,VIC,-37.469784,145.182221,postcode_centroid
Asha Global Foundation,cop,,3805,VIC,-38.037026,145.304198,postcode_centroid
Libyan Women's Association Incorporated,cop,,3757,VIC,-37.469784,145.182221,postcode_centroid
Melbourne Orthodox Jewish Community Centre,cop,,3163,VIC,-37.896497,145.057237,postcode_centroid
Melbourne Orthodox Jewish Community Centre,cop,,3182,VIC,-37.865322,144.979478,postcode_centroid
Kaiga Tuvalu Victoria Community Incorporated,cop,,3337,VIC,-37.65724033,144.5462424,postcode_centroid
River Nile Learning Centre Incorporated,cop,,3000,VIC,-37.81443733,144.9825846,postcode_centroid
Help - Himalayan Youth Foundation,cop,,3046,VIC,-37.706578,144.927968,postcode_centroid
Help - Himalayan Youth Foundation,cop,,3043,VIC,-37.691916,144.888368,postcode_centroid
Help - Himalayan Youth Foundation,cop,,3024,VIC,-37.75045631,144.649936,postcode_centroid
Alevi Community Council of Australia,cop,,3056,VIC,-37.766292,144.960108,postcode_centroid
Chabad of Rara,cop,,6330,VIC,-34.905438,117.863286,postcode_centroid
Chabad of Rara,cop,,2640,VIC,-36.016196,147.026549,postcode_centroid
Chabad of Rara,cop,,0870,VIC,-23.702291,133.86314,postcode_centroid
Chabad of Rara,cop,,3350,VIC,-37.571941,143.864505,postcode_centroid
Chabad of Rara,cop,,3550,VIC,-36.764269,144.285267,postcode_centroid
Chabad of Rara,cop,,6230,VIC,-33.341076,115.649205,postcode_centroid
Chabad of Rara,cop,,4670,VIC,-24.88776,152.297855,postcode_centroid
Chabad of Rara,cop,,2450,VIC,-30.097726,152.658268,postcode_centroid
Chabad of Rara,cop,,3175,VIC,-38.016114,145.208504,postcode_centroid
Chabad of Rara,cop,,0800,VIC,-12.458684,130.83668,postcode_centroid
Chabad of Rara,cop,,2830,VIC,-32.24224,148.657282,postcode_centroid
Chabad of Rara,cop,,6450,VIC,-33.401152,122.211127,postcode_centroid
Chabad of Rara,cop,,4570,VIC,-26.153831,152.616943,postcode_centroid
Chabad of Rara,cop,,7250,VIC,-41.432254,147.077589,postcode_centroid
Chabad of Rara,cop,,4740,VIC,-21.33763,149.059737,postcode_centroid
Chabad of Rara,cop,,2320,VIC,-32.741737,151.543675,postcode_centroid
Chabad of Rara,cop,,3500,VIC,-34.1931,142.154161,postcode_centroid
Chabad of Rara,cop,,4567,VIC,-26.408596,153.096957,postcode_centroid
Chabad of Rara,cop,,2444,VIC,-31.439614,152.87253,postcode_centroid
Chabad of Rara,cop,,3280,VIC,-38.37884,142.482889,postcode_centroid
Chabad of Rara,cop,,5576,VIC,-35.050773,137.56046,postcode_centroid
Chabad of Rara,cop,,6168,VIC,-32.281957,115.75773,postcode_centroid
Chabad of Rara,cop,,2620,VIC,-35.34172619,149.2104515,postcode_centroid
Chabad of Rara,cop,,3221,VIC,-38.181608,144.427419,postcode_centroid
Epping Wollert Nepalese Community,cop,,3757,VIC,-37.469784,145.182221,postcode_centroid
African Australian Multicultural Employment and Youth Services,cop,,3021,VIC,-37.743361,144.796693,postcode_centroid
African Australian Multicultural Employment and Youth Services,cop,,3032,VIC,-37.774486,144.897221,postcode_centroid
African Australian Multicultural Employment and Youth Services,cop,,3337,VIC,-37.65724033,144.5462424,postcode_centroid
African Australian Multicultural Employment and Youth Services,cop,,3029,VIC,-37.837165,144.705831,postcode_centroid
Bosna and Hercegovina Islamic Society - Noble Park,cop,,3175,VIC,-38.016114,145.208504,postcode_centroid
Islamic Community Milli Gorus Dandenong,cop,,3175,VIC,-38.016114,145.208504,postcode_centroid
Indian Association of Bendigo,cop,,3550,VIC,-36.764269,144.285267,postcode_centroid
Anand Ishar,cop,,3805,VIC,-38.037026,145.304198,postcode_centroid
Australian Telangana State Association,cop,,3021,VIC,-37.743361,144.796693,postcode_centroid
Australian Telangana State Association,cop,,3220,VIC,-38.157038,144.34652,postcode_centroid
Australian Telangana State Association,cop,,3015,VIC,-37.838242,144.880556,postcode_centroid
Australian Telangana State Association,cop,,3032,VIC,-37.774486,144.897221,postcode_centroid
Australian Telangana State Association,cop,,3029,VIC,-37.837165,144.705831,postcode_centroid
Future Foundation for Kids,cop,,3000,VIC,-37.81443733,144.9825846,postcode_centroid
Multicultural Youth Support Services,cop,,3810,VIC,-38.04658,145.472514,postcode_centroid
Multicultural Youth Support Services,cop,,3806,VIC,-38.025018,145.349488,postcode_centroid
Cyprus Turkish Islamic Community of Victoria,cop,,3020,VIC,-37.777204,144.829945,postcode_centroid
United Muslim Migrants Association of Victoria,cop,,3105,VIC,-37.772477,145.084806,postcode_centroid
Regional Runways,cop,,3220,VIC,-38.157038,144.34652,postcode_centroid
Srilankan Muslim Community of Victoria,cop,,3030,VIC,-37.91624,144.64209,postcode_centroid
Chinese Dance Australia,cop,,6104,WA,-31.965498,115.977633,postcode_centroid
Chinese Dance Australia,cop,,6150,WA,-32.061682,115.833608,postcode_centroid
Chinese Dance Australia,cop,,6000,WA,-31.948762,115.859912,postcode_centroid
Nepali Association of Western Australia (NAWA),cop,,6107,WA,-32.017663,115.967142,postcode_centroid
Nepali Association of Western Australia (NAWA),cop,,6164,WA,-32.131993,115.854584,postcode_centroid
Nepali Association of Western Australia (NAWA),cop,,6110,WA,-32.078535,116.008603,postcode_centroid
Nepali Association of Western Australia (NAWA),cop,,6000,WA,-31.948762,115.859912,postcode_centroid
Perth Italian Festival WA,cop,,6000,WA,-31.948762,115.859912,postcode_centroid
Gosnells Chinese Association,cop,,6110,WA,-32.078535,116.008603,postcode_centroid
Western Australia Chongqing & Sichuan Association (WACSA),cop,,6000,WA,-31.948762,115.859912,postcode_centroid
Lebanese Community Western Australia,cop,,6112,WA,-32.158675,115.997934,postcode_centroid
Lebanese Community Western Australia,cop,,6053,WA,-31.920863,115.914851,postcode_centroid
Lebanese Community Western Australia,cop,,6000,WA,-31.948762,115.859912,postcode_centroid
Lebanese Community Western Australia,cop,,6056,WA,-31.838398,116.0261,postcode_centroid
Midwest Indian Cultural Society,cop,,6000,WA,-31.948762,115.859912,postcode_centroid
Australia Buddhist Bliss Culture Mission,cop,,6156,WA,-32.03954,115.800233,postcode_centroid
Estonian Cultural Association of Western Australia,cop,,6104,WA,-31.965498,115.977633,postcode_centroid
Estonian Cultural Association of Western Australia,cop,,6155,WA,-32.061501,115.890779,postcode_centroid
Estonian Cultural Association of Western Australia,cop,,6076,WA,-32.108961,116.208263,postcode_centroid
Perth African Nations Sports Association (PANSA),cop,,6054,WA,-31.901801,115.942572,postcode_centroid
Perth African Nations Sports Association (PANSA),cop,,6104,WA,-31.965498,115.977633,postcode_centroid
Perth African Nations Sports Association (PANSA),cop,,6151,WA,-31.982199,115.869482,postcode_centroid
Gortankaku Community Association of WA,cop,,6065,WA,-31.69444,115.845329,postcode_centroid
Federation of Indian Associations of WA,cop,,6112,WA,-32.158675,115.997934,postcode_centroid
Federation of Indian Associations of WA,cop,,6155,WA,-32.061501,115.890779,postcode_centroid
Federation of Indian Associations of WA,cop,,6110,WA,-32.078535,116.008603,postcode_centroid
Western Australia Kannada Sangha,cop,,6104,WA,-31.965498,115.977633,postcode_centroid
Western Australia Kannada Sangha,cop,,6155,WA,-32.061501,115.890779,postcode_centroid
Cockburn Chinese Community Association,cop,,6164,WA,-32.131993,115.854584,postcode_centroid
Bunbury Multicultural Group,cop,,6230,WA,-33.341076,115.649205,postcode_centroid
Organisation of African Communities in Western Australia,cop,,6112,WA,-32.158675,115.997934,postcode_centroid
Organisation of African Communities in Western Australia,cop,,6155,WA,-32.061501,115.890779,postcode_centroid
